Mod:Item:MetaData, Localized Name
draconicevolution:energy_crystal:0, Базовый энергетический реле-кристалл
draconicevolution:energy_crystal:1, Энергетический реле-кристалл Виверны
draconicevolution:energy_crystal:2, Энергетический реле-кристалл Дракона
draconicevolution:energy_crystal:3, Базовый энергетический кристалл входа/выхода
draconicevolution:energy_crystal:4, Энергетический кристалл входа/выхода Виверны
draconicevolution:energy_crystal:5, Энергетический кристалл входа/выхода Дракона
draconicevolution:energy_crystal:6, Базовый беспроводной энергетический кристалл
draconicevolution:energy_crystal:7, Беспроводной энергетический кристалл Виверны
draconicevolution:energy_crystal:8, Беспроводной энергетический кристалл Дракона
draconicevolution:flow_gate:0, Энергетический ограничитель
draconicevolution:flow_gate:8, Жидкостный ограничитель
draconicevolution:reactor_core, Ядро дракониевого реактора
draconicevolution:reactor_part:0, Рамка стабилизатора реактора
draconicevolution:reactor_part:1, Внутренний ротор стабилизатора реактора
draconicevolution:reactor_part:2, Внешний ротор стабилизатора реактора
draconicevolution:reactor_part:3, Собранный ротор стабилизатора реактора
draconicevolution:reactor_part:4, Фокусирующее кольцо стабилизатора реактора
draconicevolution:reactor_component:0, Стабилизатор реактора
draconicevolution:reactor_component:1, Энергетический инжектор реактора
draconicevolution:draconic_spawner, Стабилизированный спаунер
draconicevolution:draconium_chest, Сундук дракона
draconicevolution:chaos_crystal, Кристалл хаоса
draconicevolution:chaos_shard_atmos, tile.draconicevolution:chaos_shard_atmos.name
draconicevolution:creative_rf_source, Творческий источник RF
draconicevolution:placed_item, tile.draconicevolution:placed_item.name
draconicevolution:draconium_dust, Дракониевая пыль
draconicevolution:draconium_ingot, Дракониевый слиток
draconicevolution:draconic_ingot, Пробужденный дракониевый слиток
draconicevolution:draconic_core, Ядро Дракона
draconicevolution:wyvern_core, Ядро Виверны
draconicevolution:awakened_core, Пробужденное ядро
draconicevolution:chaotic_core, Ядро хаоса
draconicevolution:wyvern_energy_core, Энергетическое ядро Виверны
draconicevolution:draconic_energy_core, Энергетическое ядро Дракона
draconicevolution:dragon_heart, Сердце Дракона
draconicevolution:debugger, item.draconicevolution:debugger.name
draconicevolution:nugget:0, Кусочек дракония
draconicevolution:nugget:1, Кусочек пробужденного дракония
draconicevolution:chaos_shard:0, Осколок хаоса
draconicevolution:chaos_shard:1, Большой осколок Хаоса
draconicevolution:chaos_shard:2, Маленький осколок Хаоса
draconicevolution:chaos_shard:3, Крошечный осколок Хаоса
draconicevolution:draconium_capacitor:0, Флаксовый конденсатор Виверны
draconicevolution:draconium_capacitor:0, Флаксовый конденсатор Виверны
draconicevolution:draconium_capacitor:0, Флаксовый конденсатор Виверны
draconicevolution:draconium_capacitor:1, Флаксовый конденсатор Дракона
draconicevolution:draconium_capacitor:1, Флаксовый конденсатор Дракона
draconicevolution:draconium_capacitor:1, Флаксовый конденсатор Дракона
draconicevolution:draconium_capacitor:2, Творческий флаксовый конденсатор
draconicevolution:wyvern_axe, Топор Виверны
draconicevolution:wyvern_bow, Лук Виверны
draconicevolution:wyvern_pick, Кирка Виверны
draconicevolution:wyvern_shovel, Лопата Виверны
draconicevolution:wyvern_sword, Меч Виверны
draconicevolution:draconic_axe, Топор Дракона
draconicevolution:draconic_bow, Лук Дракона
draconicevolution:draconic_hoe, Мотыга Дракона
draconicevolution:draconic_pick, Кирка Дракона
draconicevolution:draconic_shovel, Лопата Дракона
draconicevolution:draconic_staff_of_power, Посох силы 
draconicevolution:draconic_sword, Меч Дракона
draconicevolution:tool_upgrade:0, Ядро улучшения (Ёмкость RF )
draconicevolution:tool_upgrade:1, Ядро улучшения (Скорость копания)
draconicevolution:tool_upgrade:2, Ядро улучшения (Область копания)
draconicevolution:tool_upgrade:3, Ядро улучшения (Урон)
draconicevolution:tool_upgrade:4, Ядро улучшения (Область атаки)
draconicevolution:tool_upgrade:5, Ядро улучшения (Урон стрелы)
draconicevolution:tool_upgrade:6, Ядро улучшения (Скорость натяжения)
draconicevolution:tool_upgrade:7, Ядро улучшения (Скорость стрелы)
draconicevolution:tool_upgrade:8, Ядро улучшения (Емкость щита)
draconicevolution:tool_upgrade:9, Ядро улучшения (Восстановление щита)
draconicevolution:tool_upgrade:10, Ядро улучшения (Скорость передвижения)
draconicevolution:tool_upgrade:11, Ядро улучшения (Увеличение прыжка)
draconicevolution:dislocator, Телепортер
draconicevolution:dislocator_advanced, Улучшенный телепортер
draconicevolution:dislocator_bound:1, Связывающий телепортер (С точки на точку)
draconicevolution:dislocator_bound:2, Связывающий телепортер (Игрок)
draconicevolution:magnet:0, Телепортационный магнит
draconicevolution:magnet:1, Пробуждённый телепортационный магнит
draconicevolution:crystal_binder, Связыватель кристаллов
draconicevolution:wyvern_helm, Шлем Виверны
draconicevolution:wyvern_chest, Нагрудник Виверны
draconicevolution:wyvern_legs, Поножи Виверны
draconicevolution:wyvern_boots, Ботинки Виверны
draconicevolution:draconic_helm, Шлем Дракона
draconicevolution:draconic_chest, Нагрудник Дракона
draconicevolution:draconic_legs, Поножи Дракона
draconicevolution:draconic_boots, Ботинки Дракона
draconicevolution:info_tablet, Информационный планшет Draconic Evolution
draconicevolution:mob_soul, (Душа)
draconicevolution:creative_exchanger, Творческий заменитель блоков
draconicevolution:ender_energy_manipulator, Манипулятор эндер-энергией
thermalexpansion:machine:0, Редстоуновая печь (Основной)
thermalexpansion:machine:1, Измельчитель (Основной)
thermalexpansion:machine:2, Лесопилка (Основной)
thermalexpansion:machine:3, Индукционная плавильня (Основной)
thermalexpansion:machine:4, Фитогенный светильник (Основной)
thermalexpansion:machine:5, Компактор (Основной)
thermalexpansion:machine:6, Магмовый тигель (Основной)
thermalexpansion:machine:7, Дистилятор (Основной)
thermalexpansion:machine:8, Распределитель жидкостей (Основной)
thermalexpansion:machine:9, Энергетический зарядник (Основной)
thermalexpansion:machine:10, Центробежный разделитель (Основной)
thermalexpansion:machine:11, Последовательный сборщик (Основной)
thermalexpansion:machine:12, Алхимическая зельеварка (Основной)
thermalexpansion:machine:13, Чародейский энсорцеллатор (Основной)
thermalexpansion:machine:14, Ледниковый осадитель (Основной)
thermalexpansion:machine:15, Вулканический пресс (Основной)
thermalexpansion:device:0, Водный накопитель
thermalexpansion:device:1, Аннулятор
thermalexpansion:device:2, Термальный посредник
thermalexpansion:device:3, Древесный выжиматель
thermalexpansion:device:4, Рыболов
thermalexpansion:device:5, Предметный буфер
thermalexpansion:device:6, Жидкостный буфер
thermalexpansion:device:7, Лексический трансмутатор
thermalexpansion:device:8, Проницательный конденсатор
thermalexpansion:device:9, Рассеиватель отваров
thermalexpansion:device:10, Факторизатор
thermalexpansion:device:11, Инкапсулятор существ
thermalexpansion:device:12, Ваккумулятор
thermalexpansion:dynamo:0, Паровой генератор (Основной)
thermalexpansion:dynamo:1, Магмовый генератор (Основной)
thermalexpansion:dynamo:2, Компрессионный генератор (Основной)
thermalexpansion:dynamo:3, Реагентный генератор (Основной)
thermalexpansion:dynamo:4, Истощающий генератор (Основной)
thermalexpansion:dynamo:5, Нумизматический генератор (Основной)
thermalexpansion:cell:0, Энергетическая ячейка (Основной)
thermalexpansion:tank:0, Переносной резервуар (Основной)
thermalexpansion:cache:0, Ящик (Основной)
thermalexpansion:strongbox:0, Сейф (Основной)
thermalexpansion:capacitor:0, Флаксовый конденсатор (основной)
thermalexpansion:capacitor:1, Флаксовый конденсатор (усиленный)
thermalexpansion:capacitor:2, Флаксовый конденсатор (укреплённый)
thermalexpansion:capacitor:3, Флаксовый конденсатор (синаловый)
thermalexpansion:capacitor:4, Флаксовый конденсатор (резонирующий)
thermalexpansion:capacitor:32000, Флаксовый конденсатор (творческий)
thermalexpansion:reservoir:0, Резервуар (основной)
thermalexpansion:reservoir:1, Резервуар (усиленный)
thermalexpansion:reservoir:2, Резервуар (укреплённый)
thermalexpansion:reservoir:3, Резервуар (синаловый)
thermalexpansion:reservoir:4, Резервуар (резонирующий)
thermalexpansion:reservoir:32000, Резервуар (творческий)
thermalexpansion:satchel:0, Сумка (основная)
thermalexpansion:satchel:1, Сумка (усиленная)
thermalexpansion:satchel:2, Сумка (укреплённая)
thermalexpansion:satchel:3, Сумка (синаловая)
thermalexpansion:satchel:4, Сумка (резонирующая)
thermalexpansion:satchel:100, Сумка (пустотная)
thermalexpansion:satchel:32000, Сумка (творческая)
thermalexpansion:frame:0, Рамка механизма
thermalexpansion:frame:64, Рамка устройства
thermalexpansion:frame:128, Рамка энергетической ячейки
thermalexpansion:frame:129, Рамка усиленной энергетической ячейки
thermalexpansion:frame:130, Рамка укреплённой энергетической ячейки (пустая)
thermalexpansion:frame:131, Рамка синаловой энергетической ячейки (пустая)
thermalexpansion:frame:132, Рамка резонирующей энергетической ячейки (пустая)
thermalexpansion:frame:146, Рамка укреплённой энергетической ячейки (полная)
thermalexpansion:frame:147, Рамка синаловой энергетической ячейки (полная)
thermalexpansion:frame:148, Рамка резонирующей энергетической ячейки (полная)
thermalexpansion:augment:128, Расширение: Вспомогательная принимающая катушка
thermalexpansion:augment:129, Расширение: Вспомогательное сито
thermalexpansion:augment:130, Расширение: Камера аннулирования
thermalexpansion:augment:256, Расширение: Тривекционная камера
thermalexpansion:augment:257, Расширение: Флаксовый анодизатор
thermalexpansion:augment:258, Расширение: Пиролитический преобразователь
thermalexpansion:augment:273, Расширение: Тектонический инициатор
thermalexpansion:augment:288, Расширение: Воронка для смолы
thermalexpansion:augment:303, Расширение: Металлургический восстановитель
thermalexpansion:augment:304, Расширение: Пиро-концентратор
thermalexpansion:augment:320, Расширение: Восстановитель питательных веществ
thermalexpansion:augment:323, Расширение: Обогащатель саженцев
thermalexpansion:augment:324, Расширение: Монокультурный цикл
thermalexpansion:augment:336, Расширение: Нумизматический пресс
thermalexpansion:augment:337, Расширение: Механический штамп
thermalexpansion:augment:352, Расширение: Пироконвективная петля
thermalexpansion:augment:368, Расширение: Рефлаксовый столб
thermalexpansion:augment:369, Расширение: Алхимическая реторта
thermalexpansion:augment:400, Расширение: Концентратор связей Флакса
thermalexpansion:augment:401, Расширение: Флаксовый реконструитель
thermalexpansion:augment:402, Расширение: Параболическая флаксовая муфта
thermalexpansion:augment:416, Расширение: Аппарат для предварительной установки
thermalexpansion:augment:432, Расширение: Проверка шаблона
thermalexpansion:augment:433, Расширение: Жидкостное производство
thermalexpansion:augment:448, Расширение: Реагентный восстановитель
thermalexpansion:augment:496, Расширение: Пирокластические инъекции
thermalexpansion:augment:497, Расширение: Осколочное осаждение
thermalexpansion:augment:512, Расширение: Вспомогательная отдающая катушка
thermalexpansion:augment:513, Расширение: Топливный катализатор
thermalexpansion:augment:514, Расширение: Канал отдающей катушки
thermalexpansion:augment:515, Расширение: Ограничитель поля намагничивания
thermalexpansion:augment:576, Расширение: Преобразующий бойлер
thermalexpansion:augment:640, Расширение: Преобразующая турбина
thermalexpansion:augment:656, Расширение: Изэнтропическое водохранилище
thermalexpansion:augment:672, Расширение: Охлаждение с закрытым контуром
thermalexpansion:augment:673, Расширение: Свеча зажигания
thermalexpansion:augment:674, Расширение: Агитационный манифольд
thermalexpansion:augment:688, Расширение: Элементарный катализатор
thermalexpansion:augment:704, Расширение: Дизъюнктивное извлечение
thermalexpansion:augment:720, Расширение: Лапидарная калибровка
thermalexpansion:florb:0, Флюидный шарик (Пусто§r)
thermalexpansion:florb:1, Магматический флюидный шарик (Пусто§r)
thermalexpansion:morb:0, Биошарик (Пусто§r)
thermalexpansion:morb:1, Многоразовый биошарик (Пусто§r)
opencomputers:adapter:0, Адаптер
opencomputers:assembler:0, Сборщик
opencomputers:cable:11250603, Кабель
opencomputers:capacitor:0, Конденсатор энергии
opencomputers:case1:0, Системный блок (1-ый уровень)
opencomputers:case3:0, Системный блок (3-ий уровень)
opencomputers:case2:0, Системный блок (2-ой уровень)
opencomputers:chameliumblock:0, Блок хамелиума
opencomputers:charger:0, Зарядное устройство
opencomputers:disassembler:0, Разборщик
opencomputers:diskdrive:0, Дисковод
opencomputers:geolyzer:0, Геоанализатор
opencomputers:hologram1:0, Голографический проектор (1-ый уровень)
opencomputers:hologram2:0, Голографический проектор (2-ой уровень)
opencomputers:keyboard:0, Клавиатура
opencomputers:motionsensor:0, Датчик движения
opencomputers:powerconverter:0, Преобразователь энергии
opencomputers:powerdistributor:0, Распределитель энергии
opencomputers:printer:0, 3D принтер
opencomputers:raid:0, RAID
opencomputers:redstone:0, Красный контроллер
opencomputers:relay:0, Ретранслятор
opencomputers:screen1:0, Монитор (1-ый уровень)
opencomputers:screen3:0, Монитор (3-ий уровень)
opencomputers:screen2:0, Монитор (2-ой уровень)
opencomputers:rack:0, Серверная стойка
opencomputers:waypoint:0, Путевая точка
opencomputers:casecreative:0, Системный блок (Творческий)
opencomputers:microcontroller:0, Микроконтроллер
opencomputers:print:0, 3D модель
opencomputers:robotafterimage:0, Робот
opencomputers:robot:0, robot.name
opencomputers:endstone:0, Камень края
opencomputers:netsplitter:0, Сетевой переключатель
opencomputers:transposer:0, Транспозер
opencomputers:carpetedcapacitor:0, Carpeted Capacitor
opencomputers:material:1, Кислота
opencomputers:material:10, Арифметико-логическое устройство (АЛУ)
opencomputers:material:15, Клавиши со стрелками
opencomputers:material:14, Группа кнопок
opencomputers:material:5, Основа для карт
opencomputers:material:28, Хамелиум
opencomputers:material:3, Нетравленая печатная плата
opencomputers:material:11, Устройство управления (УУ)
opencomputers:material:0, Проволока
opencomputers:material:29, Алмазный обломок
opencomputers:material:12, Металлический диск
opencomputers:material:23, Корпус дрона (1-ый уровень)
opencomputers:material:24, Корпус дрона (2-ой уровень)
opencomputers:material:25, Корпус дрона (Креатив)
opencomputers:material:27, Картридж с чернилами
opencomputers:material:26, Картридж с чернилами (Пустой)
opencomputers:material:13, Интерпаутина
opencomputers:material:7, Микрочип (1-ый уровень)
opencomputers:material:8, Микрочип (2-ой уровень)
opencomputers:material:9, Микрочип (3-ий уровень)
opencomputers:material:20, Корпус микроконтроллера (1-ый уровень)
opencomputers:material:21, Корпус микроконтроллера (2-ой уровень)
opencomputers:material:22, Корпус микроконтроллера (Креатив)
opencomputers:material:16, Цифровой блок клавиш
opencomputers:material:4, Печатная плата
opencomputers:material:2, Основа для печатной платы
opencomputers:material:17, Корпус планшета (1-ый уровень)
opencomputers:material:18, Корпус планшета (2-ой уровень)
opencomputers:material:19, Корпус планшета (Креатив)
opencomputers:material:6, Транзистор
opencomputers:tool:0, Анализатор
opencomputers:tool:1, Сетевой отладчик
opencomputers:tool:4, Руководство OpenComputers
opencomputers:tool:5, Нанороботы
opencomputers:tool:2, Беспроводной терминал
opencomputers:tool:3, Определитель текстур
opencomputers:wrench, Ключ
opencomputers:hoverboots, Парящие ботинки
opencomputers:component:16, Процессор с видеокартой (APU) (1-ый уровень)
opencomputers:component:17, Процессор с видеокартой (APU) (2-ой уровень)
opencomputers:component:18, Процессор с видеокартой (APU) (Творческий)
opencomputers:component:3, Компонентная шина (1-ый уровень)
opencomputers:component:4, Компонентная шина (2-ой уровень)
opencomputers:component:5, Компонентная шина (3-ий уровень)
opencomputers:component:0, Центральный процессор (ЦП) (1-ый уровень)
opencomputers:component:1, Центральный процессор (ЦП) (2-ой уровень)
opencomputers:component:2, Центральный процессор (ЦП) (3-ий уровень)
opencomputers:component:20, Дисковод (для серверной стойки)
opencomputers:component:6, Память (1-ый уровень)
opencomputers:component:7, Память (Уровень 1.5)
opencomputers:component:8, Память (2-ой уровень)
opencomputers:component:9, Память (Уровень 2.5)
opencomputers:component:10, Память (3-ий уровень)
opencomputers:component:11, Память (Уровень 3.5)
opencomputers:component:13, Сервер (1-ый уровень)
opencomputers:component:14, Сервер (2-ой уровень)
opencomputers:component:15, Сервер (3-ий уровень)
opencomputers:component:12, Сервер (Творческий)
opencomputers:component:19, Терминальный сервер
opencomputers:card:10, Карта данных (1-ый уровень)
opencomputers:card:11, Карта данных (2-ой уровень)
opencomputers:card:12, Карта данных (3-ий уровень)
opencomputers:card:0, Отладочная карта
opencomputers:card:1, Видеокарта (1-ый уровень)
opencomputers:card:2, Видеокарта (2-ой уровень)
opencomputers:card:3, Видеокарта (3-ий уровень)
opencomputers:card:8, Интернет карта
opencomputers:card:9, Соединённая карта
opencomputers:card:6, Сетевая карта
opencomputers:card:4, Плата на красном камне (1-ый уровень)
opencomputers:card:7, Плата беспроводной сети (2-ой уровень)
opencomputers:upgrade:32, Component Bus (Creative)
opencomputers:upgrade:0, "Ангельское" улучшение
opencomputers:upgrade:1, Улучшение "Ёмкость" (1-ый уровень)
opencomputers:upgrade:2, Улучшение "Ёмкость" (2-ой уровень)
opencomputers:upgrade:3, Улучшение "Ёмкость" (3-ий уровень)
opencomputers:upgrade:4, Улучшение "Загрузчик чанков"
opencomputers:upgrade:5, Контейнер для карты (1-ый уровень)
opencomputers:upgrade:6, Контейнер для карты (2-ой уровень)
opencomputers:upgrade:7, Контейнер для карты (3-ий уровень)
opencomputers:upgrade:8, Контейнер для улучшения (1-ый уровень)
opencomputers:upgrade:9, Контейнер для улучшения (2-ой уровень)
opencomputers:upgrade:10, Контейнер для улучшения (3-ий уровень)
opencomputers:upgrade:11, Улучшение "Верстак"
opencomputers:upgrade:12, Улучшение "База данных" (1-ый уровень)
opencomputers:upgrade:13, Улучшение "База данных" (2-ой уровень)
opencomputers:upgrade:14, Улучшение "База данных" (3-ий уровень)
opencomputers:upgrade:15, Улучшение "Опыт"
opencomputers:upgrade:16, Улучшение "Генератор"
opencomputers:upgrade:27, Улучшение "Парение" (1-ый уровень)
opencomputers:upgrade:28, Улучшение "Парение" (2-ый уровень)
opencomputers:upgrade:17, Улучшение "Инвентарь"
opencomputers:upgrade:18, Улучшение "Контроллер инвентаря"
opencomputers:upgrade:26, Улучшение "Поводок"
opencomputers:upgrade:30, МФУ
opencomputers:upgrade:19, Улучшение "Навигация"
opencomputers:upgrade:20, Улучшение "Поршень"
opencomputers:upgrade:21, Улучшение "Контроллер табличек"
opencomputers:upgrade:22, Улучшение "Солнечный генератор"
opencomputers:upgrade:23, Улучшение "Бак для жидкостей"
opencomputers:upgrade:24, Улучшение "Контроллер бака"
opencomputers:upgrade:25, Улучшение "Притягивающий луч"
opencomputers:upgrade:29, Улучшение "Торговля"
opencomputers:upgrade:31, Плата беспроводной сети (1-ый уровень)
opencomputers:storage:0, EEPROM
opencomputers:storage:1, Дискета
opencomputers:storage:2, Жёсткий диск (1-ый уровень) (1MB)
opencomputers:storage:3, Жёсткий диск (2-ой уровень) (2MB)
opencomputers:storage:4, Жёсткий диск (3-ий уровень) (4MB)
opencomputers:misc:1, Crecopter
opencomputers:misc:0, Микроконтроллер
opencomputers:misc:0, Creatix
opencomputers:misc:0, Планшет
opencomputers:misc:0, Парящие ботинки
opencomputers:misc:0, EEPROM (Lua BIOS)
enderstorage:ender_storage:0, Сундук Края
enderstorage:ender_storage:1, Цистерна Края
enderstorage:ender_pouch, Сумка Края
extrautils2:snowglobe:0, Magical Snow Globe
extrautils2:snowglobe:1, Magical Snow Globe
extrautils2:wateringcan, Watering Can
extrautils2:itemcreativedestructionwand, Creative Destruction Wand
extrautils2:unstableingots:0, Unstable Ingot
extrautils2:unstableingots:1, Stable-'Unstable Nugget'
extrautils2:unstableingots:2, Stable-'Unstable Ingot'
extrautils2:itembuilderswand, Builders Wand
extrautils2:itemdestructionwand, Destruction Wand
extrautils2:itemcreativebuilderswand, Creative Builders Wand
extrautils2:soundmuffler, Sound Muffler
extrautils2:enderlilly, Ender Lilly
extrautils2:decorativesolidwood:0, Magical Planks
extrautils2:decorativesolidwood:1, Magical Wood
extrautils2:decorativesolidwood:2, Diagonal Wood
extrautils2:trashcan, Trash Can
extrautils2:trashcanfluid, Trash Can (Fluid)
extrautils2:trashcanenergy, Trash Can (Energy)
extrautils2:angelblock, Angel Block
extrautils2:passivegenerator:0, Solar Panel
extrautils2:passivegenerator:1, Lunar Panel
extrautils2:passivegenerator:2, Lava Mill
extrautils2:passivegenerator:3, Water Mill
extrautils2:passivegenerator:4, Wind Mill
extrautils2:passivegenerator:5, Fire Mill
extrautils2:passivegenerator:6, Creative Mill
extrautils2:passivegenerator:7, Manual Mill
extrautils2:passivegenerator:8, Dragon Egg Mill
extrautils2:supermobspawner, Resturbed Mob Spawner
extrautils2:cursedearth, Cursed Earth
extrautils2:redstoneclock, Redstone Clock
extrautils2:compressedcobblestone:0, Compressed Cobblestone
extrautils2:compressedcobblestone:1, Double Compressed Cobblestone
extrautils2:compressedcobblestone:2, Triple Compressed Cobblestone
extrautils2:compressedcobblestone:3, Quadruple Compressed Cobblestone
extrautils2:compressedcobblestone:4, Quintuple Compressed Cobblestone
extrautils2:compressedcobblestone:5, Sextuple Compressed Cobblestone
extrautils2:compressedcobblestone:6, Septuple Compressed Cobblestone
extrautils2:compressedcobblestone:7, Octuple Compressed Cobblestone
extrautils2:compresseddirt:0, Compressed Dirt
extrautils2:compresseddirt:1, Double Compressed Dirt
extrautils2:compresseddirt:2, Triple Compressed Dirt
extrautils2:compresseddirt:3, Quadruple Compressed Dirt
extrautils2:compressedsand:0, Compressed Sand
extrautils2:compressedsand:1, Double Compressed Sand
extrautils2:compressedgravel:0, Compressed Gravel
extrautils2:compressedgravel:1, Double Compressed Gravel
extrautils2:compressednetherrack:0, Compressed Netherrack
extrautils2:compressednetherrack:1, Double Compressed Netherrack
extrautils2:compressednetherrack:2, Triple Compressed Netherrack
extrautils2:compressednetherrack:3, Quadruple Compressed Netherrack
extrautils2:compressednetherrack:4, Quintuple Compressed Netherrack
extrautils2:compressednetherrack:5, Sextuple Compressed Netherrack
extrautils2:glasscutter, Glass Cutter
extrautils2:endershard, Ender Shard
extrautils2:redorchid, Red Orchid
extrautils2:sickle_wood, Wooden Sickle
extrautils2:sickle_stone, Stone Sickle
extrautils2:sickle_iron, Iron Sickle
extrautils2:sickle_gold, Golden Sickle
extrautils2:sickle_diamond, Diamond Sickle
extrautils2:poweroverload, Power Overload
extrautils2:resonator, Resonator
extrautils2:suncrystal, Sun Crystal
extrautils2:spotlight, Spotlight
extrautils2:screen, Screen
extrautils2:decorativesolid:0, Border Stone
extrautils2:decorativesolid:1, Crossed Stone
extrautils2:decorativesolid:2, Polished Stone
extrautils2:decorativesolid:3, Stoneburnt
extrautils2:decorativesolid:4, Sandy Glass
extrautils2:decorativesolid:5, Truchet
extrautils2:decorativesolid:6, Blue Quartz
extrautils2:decorativesolid:7, Quartzburnt
extrautils2:decorativesolid:8, Rainbow Stone
extrautils2:ingredients:0, Resonating Redstone Crystal
extrautils2:ingredients:1, Redstone Gear
extrautils2:ingredients:2, Eye of Redstone
extrautils2:ingredients:3, Lunar Reactive Dust
extrautils2:ingredients:4, Red Coal
extrautils2:ingredients:5, Moon Stone
extrautils2:ingredients:6, Upgrade Speed
extrautils2:ingredients:7, Upgrade Stack
extrautils2:ingredients:8, Upgrade Mining
extrautils2:ingredients:9, Upgrade Base
extrautils2:ingredients:10, Drop of Evil
extrautils2:ingredients:11, Demon Ingot
extrautils2:ingredients:12, Enchanted Ingot
extrautils2:ingredients:13, Wireless RF Heating Coil
extrautils2:ingredients:14, Blue Dye
extrautils2:ingredients:15, Upgrade Speed (Magical)
extrautils2:ingredients:16, Upgrade Speed (Ultimate)
extrautils2:ingredients:17, Evil Infused Iron Ingot
extrautils2:goldenlasso:0, Golden Lasso
extrautils2:goldenlasso:1, Cursed Lasso
extrautils2:chickenring:0, Chicken Wing Ring
extrautils2:chickenring:1, Ring of the Flying Squid
extrautils2:angelring:0, Angel Ring
extrautils2:angelring:1, Angel Ring
extrautils2:angelring:2, Angel Ring
extrautils2:angelring:3, Angel Ring
extrautils2:angelring:4, Angel Ring
extrautils2:angelring:5, Angel Ring
extrautils2:powermanager, Power Manager
extrautils2:bagofholding, Bag Of Holding
extrautils2:decorativeglass:0, Thickened Glass
extrautils2:decorativeglass:1, Thickened Glass (Bordered)
extrautils2:decorativeglass:2, Thickened Glass (Patterned)
extrautils2:decorativeglass:3, Dark Glass
extrautils2:decorativeglass:4, Glowing Glass
extrautils2:decorativeglass:5, Redstone Glass
extrautils2:ineffableglass:0, Ethereal Glass
extrautils2:ineffableglass:1, Reverse Ethereal Glass
extrautils2:ineffableglass:2, Ineffable Glass
extrautils2:ineffableglass:3, Dark Ineffable Glass
extrautils2:pipe, Transfer Pipe
extrautils2:playerchest, Player Chest
extrautils2:wrench, Wrench
extrautils2:boomerang, Magical Boomerang
extrautils2:book, Extra Utilities 2 Manual
extrautils2:contract, Contract
extrautils2:chunkloader, Chunk Loading Ward
extrautils2:filter, Filter
extrautils2:filterfluids, Filter Fluids
extrautils2:grocket:0, Transfer Node (Items)
extrautils2:grocket:1, Transfer Filter
extrautils2:grocket:2, Transfer Node (Fluids)
extrautils2:grocket:3, Retrieval Node (Items)
extrautils2:grocket:4, Retrieval Node (Fluids)
extrautils2:grocket:5, Transfer Pipe Filter
extrautils2:grocket:6, Transfer Node (Energy)
extrautils2:indexer, Indexer
extrautils2:indexerremote, Indexer Remote
extrautils2:crafter, Mechanical Crafter
extrautils2:scanner, Scanner
extrautils2:miner, Mechanical Miner
extrautils2:user, Mechanical User
extrautils2:klein:0, Klein Bottle
extrautils2:drum:0, Stone Drum
extrautils2:drum:1, Iron Drum
extrautils2:drum:2, Reinforced Large Drum
extrautils2:drum:3, Demonically Gargantuan Drum
extrautils2:drum:4, Creative Drum
extrautils2:machine:0, Machine Block
extrautils2:machine:0, Furnace
extrautils2:machine:0, Crusher
extrautils2:machine:0, Enchanter
extrautils2:machine:0, Survival Generator
extrautils2:machine:0, Furnace Generator
extrautils2:machine:0, Culinary Generator
extrautils2:machine:0, Magmatic Generator
extrautils2:machine:0, Heated Redstone Generator
extrautils2:machine:0, Ender Generator
extrautils2:machine:0, Potion Generator
extrautils2:machine:0, Pink Generator
extrautils2:machine:0, Overclocked Generator
extrautils2:machine:0, Explosive Generator
extrautils2:machine:0, Netherstar Generator
extrautils2:machine:0, Halitosis Generator
extrautils2:machine:0, Frosty Generator
extrautils2:machine:0, Death Generator
extrautils2:machine:0, Dischantment Generator
extrautils2:machine:0, Slimey Generator
extrautils2:teleporter:0, Overworld Portal
extrautils2:teleporter:1, Deep Dark Portal
extrautils2:powertransmitter, Wireless RF Transmitter
extrautils2:powerbattery, Wireless RF Battery
extrautils2:quarryproxy, Quantum Quarry Actuator
extrautils2:quarry, Quantum Quarry
extrautils2:spike_wood, Wooden Spikes
extrautils2:spike_stone, Stone Spikes
extrautils2:spike_iron, Iron Spikes
extrautils2:spike_gold, Golden Spikes
extrautils2:spike_diamond, Diamond Spikes
extrautils2:spike_creative, Creative Spikes
extrautils2:redstonelantern, Redstone Lantern
extrautils2:largishchest, Slightly-Larger Chest
extrautils2:minichest, Mini Chest
extrautils2:rainbowgenerator:0, Rainbow Generator!
extrautils2:rainbowgenerator:1, Rainbow Generator (bottom half)
extrautils2:rainbowgenerator:2, Rainbow Generator (top half)
extrautils2:magicapple, Magical Apple
extrautils2:simpledecorative:0, Block of Enchanted Metal
extrautils2:simpledecorative:1, Block of Demon Metal
extrautils2:simpledecorative:2, Block of Evil Infused Iron
extrautils2:creativechest, Creative Chest
extrautils2:creativeenergy, Creative Energy Source
extrautils2:creativeharvest, Creative Harvest
extrautils2:trowel, Trowel
extrautils2:biomemarker, Biome Marker
extrautils2:terraformer:0, Terraformer
extrautils2:terraformer:1, Antenna
extrautils2:terraformer:2, Humidifier
extrautils2:terraformer:3, Dehumidifier
extrautils2:terraformer:4, Heater
extrautils2:terraformer:5, Cooler
extrautils2:terraformer:6, Dehostilifier
extrautils2:terraformer:7, Magic Absorbtion
extrautils2:terraformer:8, Magic Infuser
extrautils2:terraformer:9, Climograph Base Unit
extrautils2:trashchest, Trash Chest
extrautils2:opinium:0, Opinium Core (Pathetic)
